InstanceId,InstanceName,AvailabilityZone,VolumeId,Encrypted,SecurityGroups
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.84.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.192.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.194.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.196.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.240.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.242.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.161.244.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.0.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.2.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.4.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.160.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.162.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.164.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.208.0/23,tgw-0a361e67607936eac
subnet-0f21567f419c121e5,pla-core DEV Tenant VPC Private Subnet A,vpc-00cb6ffafa96d62b6,us-gov-west-1a,rtb-07faac9102d076426,10.162.210.0/23,tgw-0a361e67607936eac
